#{"t_start": 1751079995.4536185, "env_id": "None"}
r,l,t
37.14591,4,16.236332
57.141364,3,16.285907
-67.719237,3,16.336764
-43.530557,4,16.386493
-22.106968,3,16.419593
44.548166,3,16.468893
71.078114,4,16.519961
-133.197588,4,16.58773
-98.538803,4,16.636385
-153.157657,4,16.693022
6.613041,3,16.737623
29.155129,4,16.793301
85.028985,4,16.848847
7.552098,3,16.87089
-185.989999,4,16.936541
109.435313,4,16.986551
-149.861576,4,17.051975
-59.37426,4,17.086437
-3.692744,4,17.153408
117.388098,4,17.203016
-41.878203,3,17.252458
70.838672,4,17.31445
-5.673349,3,17.353278
41.006067,4,17.403128
-130.691329,4,17.464902
66.878521,4,17.519857
-26.835481,4,17.569963
50.579621,3,17.619987
-172.135814,4,17.6792
7.784391,4,17.735416
-109.095665,4,17.786707
-6.375286,3,17.836438
44.383083,3,17.869943
-55.040959,4,17.938111
16.215412,4,17.986786
81.6421,3,18.036594
-102.357844,4,18.100843
28.481165,4,18.153567
43.798345,4,18.203212
-90.903053,3,18.251725
88.844363,3,18.286418
-20.332689,4,18.352276
-11.760632,3,18.44111
46.368982,3,18.486369
35.113236,4,18.54394
-25.708079,4,18.595339
72.069427,4,18.653255
-134.785721,4,18.716429
-167.318001,4,18.773616
-9.667265,4,18.819765
-79.755717,4,18.886387
10.67937,4,18.947923
8.093679,4,19.004833
-81.574863,4,19.053233
-72.495123,4,19.120046
-86.264436,4,19.169982
-133.176165,4,19.233423
69.221301,4,19.289341
-27.107533,4,19.336824
-130.891502,4,19.403496
12.180036,3,19.435622
31.342144,3,19.488643
36.192689,4,19.536674
10.470247,4,19.586629
-32.236925,4,19.651999
34.820593,3,19.686339
-77.60027,3,19.722433
82.232076,3,19.770102
87.721436,4,19.8434
-120.149545,4,19.897109
-68.109487,3,19.938106
-51.554438,4,19.986632
-48.351427,4,20.054877
71.54493,4,20.109742
108.688519,4,20.159298
-18.253195,4,20.222537
-36.976866,3,20.252881
-47.530818,4,20.320253
-19.640514,4,20.370207
-68.702096,4,20.424523
-3.284327,4,20.494379
-24.549721,4,20.543377
97.831881,4,20.592389
10.439946,4,20.653011
-115.258025,4,20.70336
71.559886,3,20.758084
-34.17624,4,20.804779
-99.607472,3,20.853383
-77.015038,3,20.886619
-136.643409,4,20.953011
-2.817718,3,20.991895
57.239719,4,21.053548
57.732785,3,21.085606
-26.592972,4,21.147966
-36.835722,4,21.193141
12.898597,4,21.253232
-15.378599,4,21.308829
-190.511581,4,21.361938
67.381811,3,21.407808
-0.307352,4,21.453492
-161.925568,4,21.519689
-80.059709,4,21.579813
94.484694,3,21.625508
26.676513,3,21.653629
-11.429697,4,21.720039
69.709634,3,21.753467
70.214666,4,21.819525
44.636312,3,21.85306
0.516357,3,21.886829
-94.28802,3,21.93568
14.484146,4,21.986809
69.309198,3,22.03659
-38.99674,3,22.086468
-90.786353,4,22.138911
-5.709095,3,22.173522
-70.475725,3,22.219912
-38.050387,4,22.274776
-128.638897,4,22.32637
-81.614996,4,22.374994
-9.095443,4,22.435409
56.457712,4,22.488305
-0.274898,4,22.535412
7.68241,4,22.586914
67.966703,3,22.636925
-146.438999,4,22.699531
4.7439,4,22.754178
-142.315331,4,22.803548
-130.348629,4,22.872349
-68.72868,3,22.902613
74.934462,3,22.952899
53.129054,3,23.003589
-178.929579,4,23.053333
-86.844569,4,23.11211
74.959981,4,23.153407
-98.788725,4,23.271923
71.071547,4,23.329455
-74.29736,4,23.369713
-23.363997,4,23.438846
7.294429,4,23.486887
-31.403238,4,23.561665
-30.076944,4,23.603184
-24.839205,4,23.667922
-102.460951,3,23.708629
48.329927,4,23.773362
23.114968,4,23.827745
74.314426,4,23.881837
136.801647,4,23.936897
75.246597,4,23.986678
-58.053048,3,24.030979
-85.405348,3,24.068588
-49.595952,3,24.109075
-54.594938,4,24.170174
-14.53114,4,24.227775
87.37322,4,24.287607
-6.965535,4,24.336913
66.649648,4,24.386613
7.134769,4,24.453292
91.944718,3,24.48681
-18.499001,3,24.54199
-23.316412,4,24.610829
86.48349,4,24.675617
18.17164,4,24.720117
-82.103824,4,24.786978
75.093291,4,24.836855
-73.199001,4,24.899629
66.757476,4,24.955027
-34.077407,4,25.003587
34.538235,3,25.053578
34.007446,4,25.113935
64.896002,4,25.168949
50.295669,4,25.220298
87.743957,3,25.270181
39.298071,4,25.327966
60.701597,4,25.382772
20.646807,4,25.436862
19.369964,4,25.486874
-7.480576,4,25.550879
46.549089,4,25.603734
-56.525462,4,25.653385
65.146784,4,25.71988
-29.083196,4,25.776765
85.212491,4,25.829928
-149.751888,4,25.886862
-14.511919,3,25.920236
-94.128112,3,25.970184
15.786319,3,26.003423
35.400945,4,26.05976
31.555967,4,26.120236
8.126665,4,26.177455
100.047715,4,26.225935
28.279389,3,26.274169
-12.620848,4,26.320331
52.653126,3,26.371485
-44.135624,4,26.428652
-110.146815,4,26.475784
-83.971651,4,26.536994
-10.661432,4,26.601437
4.150153,3,26.636853
-13.822392,3,26.686071
119.64275,4,26.736783
0.786921,4,26.792436
-4.198873,4,26.840564
-90.467347,4,26.887043
-97.023397,3,26.936782
25.280937,4,26.998658
83.613808,4,27.053403
65.55715,4,27.103719
8.214878,4,27.174415
-70.662068,4,27.229511
16.383495,4,27.289111
98.900129,4,27.337008
-30.935632,4,27.402249
-149.142595,4,27.453756
-42.840369,4,27.503648
169.440289,4,27.553656
34.119204,4,27.626596
71.756707,4,27.679498
70.004812,4,27.72018
-6.432483,4,27.786952
-142.949688,4,27.848215
40.986131,3,27.885403
15.640716,4,27.943401
-73.621522,4,27.992408
87.209447,3,28.03745
-60.255217,4,28.087084
-23.299307,4,28.087084
-8.98654,4,28.087084
-43.939357,4,28.102243
-115.9696,4,28.104846
100.852591,3,28.106874
-73.674609,4,28.218892
-45.007458,3,28.259052
-5.807563,4,28.320835
88.64744,4,28.370358
61.532378,3,28.403533
-74.57167,4,28.470472
65.241464,4,28.537251
-77.64035,3,28.585228
15.192814,3,28.62019
15.618589,4,28.68679
78.812,3,28.73623
-72.920425,4,28.794164
0.105238,4,28.847193
-51.931082,3,28.892546
-196.799038,4,28.952161
-53.427966,4,29.003625
61.918522,4,29.064914
-4.075317,4,29.127543
-146.627078,4,29.186131
-73.991386,4,29.239336
-136.453564,4,29.300709
-37.935534,4,29.353702
42.56316,4,29.403472
120.502967,4,29.462816
-50.973725,4,29.503457
-2.819807,4,29.570695
2.895158,4,29.620275
-17.008908,3,29.670339
-61.128676,4,29.731521
47.640998,4,29.775617
59.866069,4,29.839705
46.596736,4,29.898564
19.806208,3,29.936808
-28.893452,4,29.987077
-45.024082,4,30.039946
14.621616,3,30.088364
-65.69089,4,30.142163
-2.530322,4,30.198021
27.532826,3,30.24048
-29.803082,4,30.286994
-15.481116,4,30.348741
-9.213161,4,30.40378
42.747786,4,30.453546
-106.605664,4,30.520317
137.13071,4,30.581509
6.960454,4,30.637009
120.200277,4,30.686989
-130.797519,4,30.741523
70.889791,4,30.803377
-54.753027,3,30.842029
-140.266621,4,30.888234
-92.223666,4,30.953472
47.269928,3,30.987081
-195.320909,4,31.042173
-146.193936,4,31.105491
18.5395,4,31.162387
-10.709528,4,31.203705
-56.462387,4,31.270419
37.626852,4,31.337236
-101.953832,4,31.387024
-157.490238,4,31.445339
-30.114405,4,31.503458
113.739837,4,31.565008
35.347149,4,31.603511
-19.280654,3,31.653045
-23.687289,4,31.72047
-38.299449,4,31.780766
-14.056755,3,31.821793
36.103014,4,31.870255
-22.090079,4,31.936823
-138.946348,4,31.994769
-0.700456,4,32.047371
-171.351472,4,32.087065
-70.815082,4,32.153801
-11.143277,4,32.203801
-96.116018,4,32.25263
129.770251,4,32.319064
101.338017,4,32.370599
61.113848,3,32.418895
65.193271,3,32.454122
-7.600581,4,32.51846
16.159722,4,32.570602
-47.117772,3,32.620431
-166.596035,4,32.679829
25.796453,4,32.739285
40.535322,3,32.775474
-174.74176,4,32.820536
-2.828022,3,32.87949
30.04146,4,32.958507
34.721594,4,33.023141
159.383999,4,33.077077
-72.924236,3,33.120918
90.630026,4,33.17914
62.617471,4,33.254478
-115.14281,4,33.328145
-18.828085,4,33.369856
63.232797,4,33.436377
13.052899,4,33.548856
125.416275,4,33.602321
1.978616,4,33.646947
-52.873716,4,33.716262
41.777972,4,33.787057
7.944331,4,33.859463
-5.801917,4,33.915178
14.146428,4,33.979522
-38.128958,4,34.037225
-139.263305,4,34.087245
52.332527,3,34.136955
77.814894,3,34.169906
-67.877956,4,34.237057
15.261046,3,34.270382
-28.102652,4,34.341605
91.302901,4,34.413613
-9.571557,3,34.470802
-13.476797,4,34.535643
-28.098793,3,34.569777
-133.444164,4,34.632801
-173.157089,4,34.687335
33.934136,4,34.748891
-25.60637,3,34.786841
-95.115304,4,34.846559
60.525471,4,34.903806
50.231463,4,34.953947
-36.733399,4,35.009395
-69.630448,4,35.053756
45.813109,4,35.120394
-95.851885,4,35.183217
92.096034,3,35.236929
21.369203,4,35.313659
-84.507509,4,35.370622
-75.358841,4,35.420252
-149.943701,4,35.487186
47.378508,3,35.520186
-100.068886,4,35.587389
-185.970032,4,35.637324
44.386746,3,35.686841
-52.828431,3,35.720546
32.830546,4,35.776116
52.228654,3,35.820605
12.428702,3,35.859403
119.459703,4,35.929085
-114.551226,4,35.987322
11.60279,4,36.037217
18.278898,3,36.086495
-48.573348,3,36.120507
-27.263192,3,36.176759
33.2998,3,36.220416
-73.250028,3,36.289904
-35.796635,4,36.361663
0.163289,4,36.420642
-100.39377,4,36.47064
-42.669576,4,36.533251
-82.100151,4,36.586055
-71.473685,4,36.637342
39.257127,4,36.68749
-144.878737,4,36.753684
-0.902028,3,36.787293
77.71907,4,36.854197
76.024587,3,36.887479
-26.947874,4,36.959655
61.423891,4,37.015499
-8.651467,3,37.057376
7.604765,4,37.104187
-45.473783,3,37.155287
98.21635,4,37.212399
-69.841809,3,37.25813
15.730957,3,37.287461
-28.485813,4,37.359438
84.025606,3,37.403868
-11.705993,4,37.487364
120.646429,4,37.55463
2.870316,4,37.612696
67.529664,3,37.637149
-0.159708,4,37.72047
