#{"t_start": 1750910061.867556, "env_id": "None"}
r,l,t
20.78246,4,15.212816
-17.241985,4,15.26906
-178.779819,4,15.319695
-164.41788,4,15.369673
-43.496784,4,15.435277
-163.635981,4,15.487157
-120.556364,4,15.595256
-149.652552,4,15.636246
0.10956,4,15.701971
17.00592,3,15.735453
-103.96719,4,15.803062
68.236218,3,15.851684
-51.175413,4,15.899945
-42.685199,4,15.95594
-0.499588,4,16.018421
-118.613632,4,16.071355
45.330687,4,16.130538
69.417588,4,16.169554
-41.311049,4,16.23663
-34.226818,4,16.300882
-77.310963,4,16.3621
-9.624473,4,16.403068
-172.193038,4,16.470135
-16.52301,4,16.538362
-173.063422,4,16.594445
-89.184004,4,16.65017
-13.548325,4,16.703442
57.124059,4,16.753111
189.588986,4,16.822772
36.256302,3,16.859437
151.754302,4,16.937266
-55.971363,4,17.010155
-65.074648,4,17.064988
-3.911853,4,17.120957
121.18171,4,17.170029
-70.091325,4,17.24212
188.917301,4,17.286409
-80.276517,4,17.355045
-107.19259,4,17.403354
-8.664721,4,17.473393
-35.008747,3,17.503194
62.474468,3,17.552211
48.2022,3,17.601812
-116.059587,4,17.653104
-104.879896,4,17.720808
20.350759,4,17.77774
80.690226,4,17.836474
35.465982,3,17.869676
129.703139,4,17.940723
42.915653,3,17.969029
35.021699,3,18.02546
62.193124,3,18.069842
26.230526,4,18.127519
2.689809,4,18.186388
154.6702,4,18.236559
32.915452,4,18.301988
-117.04083,4,18.360912
18.686608,4,18.419875
-150.164344,4,18.470018
17.970824,3,18.519774
-24.508639,4,18.579788
89.854114,3,18.619791
-38.575589,4,18.669961
-56.191494,3,18.720064
-145.083054,4,18.790456
104.139526,4,18.846275
7.876925,3,18.892018
68.096857,4,18.936526
16.069916,4,18.986221
-38.482116,4,19.063145
100.411379,3,19.106267
-79.743992,3,19.136667
-6.752293,4,19.211046
76.753539,3,19.254859
53.561734,3,19.301963
-60.669042,4,19.353089
61.326997,4,19.418155
-129.978141,4,19.473394
1.259321,4,19.535484
42.495825,3,19.568922
11.244359,4,19.638586
34.723523,3,19.686363
3.76111,4,19.736671
-118.935318,4,19.805166
-64.58878,4,19.863896
-46.353257,4,19.921353
103.570036,4,19.969804
6.782496,4,20.036658
78.17809,4,20.094948
-20.1161,4,20.152141
-31.744051,4,20.205392
107.349037,4,20.253213
67.419481,4,20.328886
103.845715,4,20.369833
-141.461999,4,20.436927
1.018074,4,20.53597
15.505916,3,20.585183
55.512804,4,20.636484
86.156956,3,20.686689
-62.553401,4,20.759149
178.84815,4,20.821902
-76.369993,4,20.879404
-64.128241,4,20.936453
78.388843,3,20.969839
-75.421509,3,21.01883
41.964772,4,21.074611
88.336143,4,21.120262
31.668453,4,21.198495
-87.949818,4,21.258271
-19.585747,3,21.304241
142.278909,4,21.353431
-68.067203,4,21.420702
44.527966,4,21.469913
142.613115,4,21.519641
-42.397502,4,21.586772
-71.489839,4,21.656193
139.207221,4,21.714777
84.612991,4,21.774903
66.099836,4,21.853141
62.688084,3,21.909103
-31.725147,4,21.974849
53.362233,3,22.02065
-89.69378,4,22.086634
99.748827,4,22.157217
-90.746803,4,22.231927
-4.047497,4,22.298258
21.053462,4,22.353263
-126.666944,4,22.411542
-188.941364,4,22.472247
-89.085421,3,22.516448
10.89886,4,22.570431
-76.940279,3,22.618881
-94.509882,3,22.675411
82.963369,4,22.749599
45.930282,4,22.819195
-47.80344,3,22.853256
67.000991,4,22.916108
-50.660795,4,22.979935
92.454926,3,23.025673
130.207254,4,23.09138
106.12245,4,23.136607
90.119372,4,23.203331
23.948614,4,23.270092
-152.894863,4,23.340522
36.044805,3,23.399504
-117.997543,4,23.470783
40.608277,3,23.52029
87.252463,4,23.570091
81.160717,3,23.619118
-106.232606,4,23.680159
126.72352,4,23.736608
70.685206,3,23.769074
-187.055923,4,23.841248
-24.668793,4,23.897688
-63.879426,4,23.9534
-12.646643,4,24.018755
26.402858,4,24.069834
-115.62471,4,24.134939
23.399429,4,24.203501
-58.340066,3,24.268947
61.700301,3,24.314691
-119.645142,4,24.376818
36.02251,4,24.436916
-101.677824,4,24.526906
-107.264722,4,24.591608
73.416287,3,24.640657
-28.288571,4,24.686916
-37.447271,4,24.800897
34.511893,4,24.885798
-88.035414,4,24.946563
3.537107,4,25.003691
-29.80254,3,25.036942
33.85108,4,25.120014
18.570445,4,25.195618
-41.860571,4,25.253155
-9.77727,3,25.30396
77.233887,3,25.354443
30.081289,4,25.408909
-72.060117,3,25.453673
-30.41579,4,25.503438
17.497076,4,25.576905
103.815597,4,25.649704
86.291289,3,25.703817
134.363736,4,25.770724
4.209755,4,25.826956
-61.238111,3,25.870071
-76.19654,4,25.936841
56.539253,4,26.01941
74.795205,4,26.08968
54.771448,4,26.152385
-29.357242,4,26.203547
-95.495516,4,26.278018
109.817059,4,26.337679
55.468728,4,26.389492
-184.164789,4,26.453634
23.869086,3,26.520388
-125.226215,4,26.60439
-6.590301,3,26.660217
50.149851,4,26.736939
67.271913,4,26.811383
-81.514047,4,26.883451
189.11463,4,26.95543
120.228357,4,27.020459
-94.019114,4,27.094608
-9.449481,4,27.154393
-49.878561,3,27.18766
48.643565,3,27.238954
39.846465,4,27.286826
-185.819093,4,27.358498
98.545722,3,27.408366
68.613216,3,27.470207
64.710253,4,27.541449
183.441855,4,27.59959
-63.142012,3,27.636823
-20.736115,4,27.703756
-50.278008,4,27.773866
-28.988592,3,27.80339
-158.75957,4,27.874201
97.954189,4,27.920378
60.585438,3,27.986733
-35.960724,4,28.057688
84.759453,4,28.127506
9.573084,4,28.186948
7.688844,4,28.252553
102.795001,4,28.309669
66.869683,4,28.366129
2.652814,3,28.409165
20.697588,4,28.468974
-173.56272,4,28.518808
14.936585,3,28.552584
70.429919,4,28.620797
-126.911034,4,28.682697
-187.292116,4,28.745717
63.66541,4,28.817271
-55.758439,4,28.887279
61.151276,4,28.958585
-81.128543,3,29.007246
90.279832,4,29.053743
72.514747,4,29.12235
56.760959,4,29.179057
-116.580781,4,29.23884
-1.261645,4,29.257073
86.205746,3,29.257073
31.272029,3,29.257073
-107.309715,4,29.257073
64.298451,4,29.266546
-19.88241,4,29.336817
20.066774,4,29.387197
-108.566362,4,29.459499
35.006087,4,29.517308
85.319223,4,29.571145
25.133029,4,29.624542
-12.358013,4,29.700935
46.768344,3,29.756699
-62.730058,3,29.813402
-25.643635,3,29.859102
-177.678214,4,29.928451
63.326421,4,29.982873
52.559471,4,30.056432
-38.76105,4,30.169653
23.301679,4,30.243783
-48.061072,4,30.296623
-187.750098,4,30.35861
-16.337307,3,30.404062
-154.479665,4,30.484787
-13.490439,4,30.557535
-79.228206,4,30.62127
3.385956,4,30.686959
-6.713059,4,30.737418
-42.904278,4,30.802483
-33.438766,4,30.862943
147.809515,4,30.920949
40.434263,4,30.970196
-46.038207,3,31.033166
102.800787,4,31.105514
-72.70459,3,31.153639
-153.973413,4,31.22776
18.846698,3,31.270297
18.798383,4,31.332346
118.611938,4,31.387239
0.019065,4,31.437075
88.046065,3,31.486023
136.889229,4,31.547689
-179.617267,4,31.603832
-16.946014,4,31.670249
77.609748,4,31.727269
-199.761873,4,31.786795
69.413647,4,31.83731
-98.23216,4,31.906384
63.094607,4,31.96537
84.381407,4,32.025386
-98.06352,4,32.085727
79.946637,3,32.121148
-41.792705,4,32.178803
-2.651691,4,32.240156
-127.96184,4,32.303663
88.146801,3,32.336797
-16.518196,4,32.407315
67.138128,3,32.436095
32.603867,3,32.4919
7.104904,4,32.553646
-119.546682,4,32.61245
115.586447,4,32.673249
-199.620199,4,32.720523
45.994455,4,32.794456
-32.121824,4,32.851459
54.317114,4,32.907329
-74.088664,4,32.953599
67.773393,4,33.024058
104.283187,4,33.083986
-92.021946,4,33.14591
-3.614656,4,33.203858
-191.74372,4,33.253668
38.598423,3,33.303004
87.775047,4,33.368592
68.535098,4,33.42076
114.9439,4,33.491012
71.832598,4,33.548702
-58.683575,3,33.586956
-14.650665,4,33.703672
-132.536924,4,33.781306
-179.248956,4,33.844096
-9.550381,4,33.909047
-15.657675,4,33.970965
67.284045,4,34.053719
-50.801725,3,34.086929
59.370301,3,34.136215
33.119142,4,34.203595
-22.201335,4,34.269315
18.423782,4,34.328104
66.24363,4,34.390203
94.240981,3,34.426006
32.429132,4,34.48706
-49.624642,4,34.550994
-49.062883,4,34.609461
7.412703,4,34.654247
-87.162613,4,34.720417
-136.009695,4,34.78149
89.803383,3,34.820287
-14.359461,3,34.870765
-116.310205,4,34.920337
-32.019447,4,34.987006
92.171935,4,35.046554
61.71041,3,35.092126
-95.806138,4,35.156188
46.252923,3,35.187872
8.251744,3,35.236983
-201.494143,4,35.287301
47.566184,4,35.361577
-18.149686,4,35.453383
57.706326,4,35.518084
56.472887,3,35.559297
-29.799493,4,35.6204
102.799377,4,35.68712
7.272259,4,35.745078
-161.677679,4,35.803755
-0.553421,4,35.866969
22.737841,4,35.928177
40.645446,4,35.97053
165.861066,4,36.044242
-11.890797,3,36.086458
145.606947,4,36.150227
-55.10226,3,36.188104
44.377633,4,36.253763
-13.627212,4,36.319372
135.742296,4,36.377183
29.56156,4,36.437956
-88.541259,3,36.476112
26.420294,4,36.538972
-67.219605,4,36.602126
-19.499399,4,36.662234
20.081773,4,36.720564
-39.24611,3,36.769223
-112.100796,4,36.827219
-11.269666,4,36.870434
28.377464,4,36.938075
83.938908,3,36.970382
-84.590585,4,37.045468
-34.427683,4,37.100895
-8.308241,4,37.154368
-45.463596,4,37.233395
-122.796312,4,37.306835
-98.802546,4,37.378527
-109.369485,4,37.439188
55.622037,3,37.485908
-37.085048,4,37.540005
-46.970565,4,37.609784
-21.696338,4,37.691115
-66.908373,4,37.754682
-16.301969,3,37.787126
126.718756,4,37.854583
-40.021435,4,37.903697
17.120917,4,37.972517
-108.595622,4,38.029301
-24.340679,4,38.101154
-37.686667,4,38.188782
24.471483,3,38.242062
147.768749,4,38.298025
81.036619,4,38.360002
-100.53665,4,38.420767
31.879125,3,38.489883
-111.455201,4,38.561831
-26.589262,4,38.620443
193.416037,4,38.670834
46.328099,4,38.74197
65.519349,4,38.787309
-197.070817,4,38.860631
37.799501,4,38.93411
156.441803,4,39.010861
-110.492498,4,39.077399
157.337296,4,39.140178
100.030443,4,39.189353
-77.108559,3,39.243083
-64.322894,4,39.303057
15.063027,4,39.363641
109.458128,4,39.420766
84.452921,4,39.487231
91.169576,4,39.543211
8.515737,4,39.614958
60.545256,4,39.687965
79.206849,3,39.744913
-107.353626,4,39.787631
-76.33807,4,39.856534
-50.00078,4,39.91934
96.919987,4,39.98262
76.082951,3,40.021056
76.147605,3,40.053762
-59.048429,4,40.120703
92.734885,4,40.187134
88.191116,4,40.245041
39.953642,4,40.295988
-64.380465,4,40.353843
61.690785,3,40.416095
-0.530099,4,40.490185
36.836789,4,40.559949
57.293391,3,40.604189
34.787969,3,40.654039
13.310222,3,40.751405
-61.478794,4,40.814481
105.432794,4,40.8706
-162.355853,4,40.9208
-151.15973,4,40.987333
-155.612929,4,41.051365
-190.767956,4,41.104521
68.235881,3,41.153886
-90.919558,4,41.217236
43.590722,4,41.277642
87.820579,4,41.335283
24.026359,3,41.371082
-12.513676,3,41.420738
13.054659,3,41.477176
-3.243607,4,41.556695
-9.855117,3,41.603872
-14.429291,4,41.660031
133.398969,4,41.719643
-133.876853,4,41.770765
51.553573,4,41.844269
-2.074415,3,41.889393
-69.29791,4,41.94607
-36.465588,4,42.004265
-5.815799,4,42.053966
176.005966,4,42.126403
25.276935,4,42.189333
152.925673,4,42.254081
-110.205654,4,42.316969
83.064854,3,42.353811
17.975242,4,42.425276
31.366277,4,42.487255
121.693119,4,42.548223
18.310305,4,42.611848
-159.66382,4,42.668903
99.99703,4,42.720781
75.344686,4,42.787477
111.795759,4,42.854075
