#{"t_start": 1749825858.1344798, "env_id": "None"}
r,l,t
51.65464,3,16.702656
118.01011,4,16.774127
40.431371,3,16.8207
106.664169,4,16.885559
24.850197,3,16.941313
53.308013,4,17.017327
51.411978,4,17.086718
158.456423,4,17.146699
103.732018,4,17.20626
120.064513,4,17.276036
22.762819,3,17.340518
86.76725,4,17.410037
29.225329,3,17.453421
123.566482,4,17.510063
21.825823,4,17.570367
6.901864,4,17.64394
-55.737418,4,17.709362
18.877978,4,17.777012
63.62414,4,17.859034
64.195454,3,17.91148
37.13354,3,17.962254
25.239371,3,18.005306
20.082085,4,18.070435
54.855455,3,18.122371
148.364247,4,18.184991
-53.862147,4,18.241727
-41.375915,4,18.310291
153.257618,4,18.372084
46.388825,3,18.410725
56.460372,3,18.471984
63.723287,3,18.521409
40.883191,3,18.58744
34.409389,3,18.635402
100.16579,4,18.693498
-5.617258,4,18.753513
76.837399,4,18.820226
82.208517,4,18.884116
8.405647,4,18.946789
41.190425,4,19.003344
-73.719183,4,19.0712
107.955667,4,19.130062
34.28131,4,19.191835
87.577949,4,19.253599
47.176174,3,19.318345
3.738257,4,19.391738
16.945969,4,19.461367
98.285851,4,19.525188
76.176612,4,19.588773
-59.735183,4,19.646852
114.461992,4,19.6868
140.347222,4,19.754112
25.656022,3,19.803545
53.518489,4,19.869081
1.71332,4,19.931147
147.960832,4,19.987246
10.388549,3,20.037056
50.515286,3,20.070055
15.841364,3,20.119496
46.106074,4,20.170676
-69.307178,4,20.246765
4.472216,4,20.318996
4.675577,3,20.374471
-28.200076,4,20.448488
43.491828,3,20.486619
56.720294,4,20.553254
-47.558623,4,20.619589
-5.998948,4,20.686578
52.395331,4,20.742869
46.767024,3,20.791585
73.204917,4,20.850902
37.588829,3,20.892445
26.001917,4,20.953738
94.549489,4,21.023252
26.655313,3,21.053736
132.787893,4,21.120654
-10.291491,4,21.170301
-0.596568,4,21.286157
46.546667,3,21.339552
29.759897,3,21.387603
64.019426,4,21.476177
-42.364208,4,21.54088
-22.273534,4,21.610217
55.434952,3,21.670466
-89.411775,4,21.746746
52.399964,4,21.809469
-12.42955,4,21.872286
2.093633,4,21.931825
30.740227,4,21.993868
14.277884,3,22.040615
84.730583,4,22.096922
74.057065,4,22.158383
-19.862463,4,22.225286
44.75261,4,22.280081
44.226364,4,22.340919
86.691989,4,22.404378
106.083725,4,22.464388
34.682938,3,22.508378
48.97816,4,22.574773
140.350147,4,22.641589
6.937483,4,22.701236
90.117089,4,22.764552
36.051487,3,22.806591
-7.120817,4,22.870268
56.86146,3,22.910983
12.00452,4,22.974245
7.995532,4,23.032266
-20.532791,4,23.093366
74.850988,4,23.156321
-24.447913,4,23.217681
20.171441,4,23.277069
23.173365,4,23.340864
14.124398,3,23.390998
7.668127,3,23.438747
41.158753,4,23.497742
-34.23691,4,23.566316
-40.735638,4,23.626646
-23.268252,4,23.680107
-7.454556,4,23.744971
45.328788,4,23.803571
16.037972,4,23.866451
89.179812,4,23.924346
32.15597,4,23.984303
-52.048846,4,24.047254
25.822333,4,24.112455
38.905984,3,24.153769
80.093045,3,24.194631
37.322813,4,24.265429
77.32987,4,24.329313
63.666595,3,24.370281
14.212977,3,24.42205
-62.614527,4,24.487113
125.370194,4,24.548027
22.210997,3,24.592389
-30.223763,4,24.656734
43.395071,4,24.720249
140.848445,4,24.782427
122.369459,4,24.845041
-48.567476,4,24.904657
-42.125687,4,24.954145
55.622247,4,25.025387
43.824563,4,25.119277
41.982781,4,25.187127
29.911488,3,25.237495
73.600496,3,25.28731
19.392876,3,25.320728
135.694188,4,25.396074
-71.250164,4,25.45461
-29.724961,4,25.526345
88.124689,4,25.580118
32.117945,3,25.620433
42.207728,4,25.688026
-23.569776,4,25.745886
66.350124,4,25.804689
-35.344158,4,25.865573
56.086535,4,25.920671
24.369645,4,25.986834
49.612936,3,26.019691
74.037174,4,26.091869
-6.09119,4,26.153919
52.250831,4,26.214705
1.870565,3,26.253745
129.771151,4,26.316457
50.297916,3,26.359637
26.058353,4,26.420442
53.275168,3,26.470344
80.592511,4,26.525141
81.327732,4,26.587048
38.681551,4,26.648812
-40.714591,4,26.711653
30.430026,4,26.772455
34.990338,3,26.82107
74.549992,4,26.873284
-17.417486,4,26.939495
42.773762,3,26.986018
72.42556,3,27.025616
-38.819686,4,27.087173
43.614209,4,27.151155
130.419679,4,27.209814
-43.462686,4,27.273138
55.016574,4,27.335985
-29.150579,4,27.394153
-9.273391,3,27.439212
64.598907,3,27.487616
74.094528,4,27.553802
71.96575,4,27.615837
51.066564,4,27.674431
23.743288,3,27.721164
-31.14565,4,27.786089
43.556275,3,27.819777
25.977191,4,27.893981
15.441698,3,27.937952
18.709899,3,27.987204
41.701487,3,28.036506
61.315345,4,28.10577
125.597922,4,28.170736
81.267232,3,28.226329
4.350212,4,28.289008
39.591702,4,28.358767
27.212253,3,28.404241
36.692234,3,28.453982
23.612867,3,28.487288
27.760785,4,28.564955
-10.659533,4,28.621021
-21.404,4,28.695611
7.55917,4,28.761679
46.510646,4,28.827497
-42.201391,4,28.887333
11.618441,3,28.936872
114.718804,4,29.003348
-40.684594,4,29.066403
21.497901,4,29.120945
21.812017,4,29.190204
36.512348,4,29.249896
14.769744,3,29.302788
17.225272,4,29.370718
149.710959,4,29.437301
18.925981,4,29.501228
150.242372,4,29.565538
10.010792,4,29.620512
51.618074,4,29.686125
62.743538,4,29.74694
36.681157,3,29.78715
18.377765,3,29.836931
27.264821,4,29.887282
11.235835,4,29.955882
60.658863,4,30.016529
-81.272676,4,30.085884
13.307897,4,30.181304
148.204521,4,30.253196
59.171153,4,30.303635
-22.385671,4,30.334473
27.410221,4,30.338112
-7.85629,4,30.340199
4.324998,4,30.342885
44.527243,3,30.343878
27.854643,4,30.403538
54.792057,3,30.453866
-75.792773,4,30.50363
159.093666,4,30.567773
55.323159,3,30.609747
75.750647,3,30.654327
-29.161523,4,30.72229
57.821912,4,30.7805
23.85156,3,30.822689
-9.611374,4,30.886873
39.257947,3,30.919969
-52.984832,4,31.003897
25.072581,3,31.054582
16.216341,3,31.104142
88.312692,4,31.173505
88.54233,4,31.23531
15.71552,4,31.30399
90.937134,4,31.3756
69.03409,4,31.449193
-3.128644,4,31.508663
64.915244,4,31.576568
58.821379,3,31.62056
-38.818361,4,31.682192
71.037408,4,31.744175
-27.737324,4,31.805938
171.309643,4,31.879676
19.808853,4,31.943102
-0.011613,3,31.987121
-25.38655,4,32.054293
68.286048,4,32.120549
1.574693,4,32.183732
61.055535,3,32.231897
69.884354,3,32.276638
36.15218,4,32.342346
118.771258,4,32.399222
21.384063,4,32.458796
-6.154379,4,32.52083
122.191728,4,32.586238
31.916919,3,32.62067
34.925641,4,32.688105
-1.91918,4,32.750533
59.006147,4,32.808483
104.753776,4,32.867808
8.668429,4,32.929591
37.466424,3,32.976688
207.163934,4,33.040097
47.254749,3,33.085603
14.173252,3,33.121102
43.105435,4,33.18753
50.272849,4,33.255739
54.889546,4,33.313986
-21.628291,4,33.374481
-22.021718,4,33.437699
41.312202,3,33.469915
173.527609,4,33.544058
36.250611,4,33.605029
32.771959,3,33.653746
66.949492,4,33.711452
26.218355,4,33.77467
23.207607,3,33.820655
107.188812,4,33.871199
113.847989,4,33.942181
20.035371,3,33.987462
68.341173,3,34.038091
107.598358,4,34.102957
-38.015707,4,34.156803
63.421933,3,34.205651
-29.377368,4,34.26914
7.775717,3,34.320446
28.596793,3,34.354599
72.60508,4,34.425612
30.191846,3,34.47132
81.090198,4,34.5213
122.561429,4,34.596177
-58.662573,4,34.657813
13.133973,4,34.719365
23.886476,3,34.761001
57.064573,3,34.81118
80.503833,4,34.872665
-54.548134,4,34.936345
-32.889812,4,35.00588
58.176565,4,35.065978
-80.178462,4,35.125614
42.957186,3,35.220732
90.42258,4,35.283566
79.105036,3,35.333354
-3.373037,4,35.391485
-5.315583,4,35.452962
41.383854,4,35.520963
32.062474,3,35.554181
85.881136,4,35.626625
30.28934,4,35.686411
62.692467,3,35.738003
53.932923,4,35.78767
26.739454,3,35.847903
-81.885986,4,35.911869
93.995069,4,35.970976
62.650672,4,36.041484
81.750221,4,36.10307
126.084936,4,36.158856
38.717193,3,36.208068
61.471844,3,36.254378
-6.205564,4,36.311054
140.802244,4,36.387202
-58.554118,4,36.4875
59.098786,3,36.547289
31.978593,3,36.606814
144.347372,4,36.673647
-20.912029,4,36.764213
-23.412104,4,36.860079
23.154686,3,36.915069
30.309072,3,36.975402
13.045601,4,37.0588
94.873163,4,37.122221
80.808569,4,37.195537
50.045478,4,37.26111
-25.386423,4,37.33059
-33.290269,4,37.420719
13.112595,4,37.502858
43.97162,3,37.545437
-72.879243,4,37.615368
15.788962,4,37.68634
15.168571,3,37.738175
92.034063,4,37.800236
64.775479,4,37.865519
-19.016408,4,37.920736
31.114237,4,37.994326
64.100894,4,38.065994
-26.496968,4,38.135941
-12.106582,3,38.180452
101.830901,4,38.242501
84.100575,4,38.300679
18.143085,3,38.342534
-5.603411,4,38.415128
120.056808,4,38.479303
66.727456,4,38.553118
107.107789,4,38.620379
74.373706,4,38.67851
9.49066,4,38.743697
103.7479,4,38.801314
1.095469,4,38.860591
137.716094,4,38.920613
145.862515,4,38.980405
3.232181,4,39.047459
201.966778,4,39.119812
44.149592,4,39.187459
117.788098,4,39.252577
66.940874,4,39.311334
8.701468,4,39.375512
70.071019,4,39.446599
167.397804,4,39.507268
28.51008,3,39.550602
61.496892,4,39.615755
-14.429151,4,39.670946
11.394626,3,39.72375
100.157791,4,39.784573
0.932885,4,39.854372
56.967494,4,39.921915
-37.266511,4,39.970942
59.085576,4,40.034668
141.934364,4,40.104589
9.64095,4,40.163099
41.097349,3,40.20442
154.146763,4,40.272938
15.384142,4,40.337478
84.317772,4,40.398673
103.179132,4,40.457097
155.944703,4,40.513193
55.606967,3,40.559345
49.754314,4,40.621587
33.588523,4,40.735705
49.21601,4,40.808398
-8.19551,4,40.871041
-38.148627,4,40.938565
-41.064466,4,41.011352
37.557935,3,41.063976
26.756526,3,41.110183
-26.380959,4,41.171208
-14.748788,4,41.236933
183.34682,4,41.304275
-10.869105,4,41.37096
70.743426,3,41.423851
95.693495,4,41.490663
-35.348126,4,41.559389
62.676924,4,41.621037
58.909519,3,41.673793
99.052455,4,41.734989
103.047003,4,41.795437
-0.34873,4,41.854432
-10.701603,4,41.931083
76.202722,4,41.991343
112.928877,4,42.053741
153.590171,4,42.104955
18.967568,3,42.154553
58.101202,3,42.203598
123.947967,4,42.272419
54.651812,4,42.321541
78.978388,3,42.371164
-71.036045,4,42.437933
-88.309821,4,42.508249
182.125822,4,42.571126
-49.694721,4,42.63884
-56.66121,4,42.698438
98.602409,4,42.756521
17.266981,4,42.82019
-1.080063,4,42.871774
207.452042,4,42.938209
122.824971,4,43.009356
