#{"t_start": 1749829741.4038556, "env_id": "None"}
r,l,t
7.570523,4,16.057483
63.856915,3,16.099912
162.791048,4,16.17014
27.589142,3,16.198843
-23.540878,4,16.268474
22.32094,3,16.314927
74.411224,3,16.350081
56.642046,4,16.415158
75.715055,3,16.449722
30.928283,4,16.53303
62.902458,3,16.612126
115.542624,4,16.694741
43.081543,3,16.736782
-36.055652,4,16.799639
70.696007,4,16.867161
-36.10084,4,16.923971
60.938077,3,16.966302
29.78065,3,17.005246
-44.582743,4,17.070573
24.343933,3,17.117237
33.700607,3,17.165183
-24.22849,4,17.233737
-33.187528,4,17.303543
-46.765311,4,17.366221
-7.049442,4,17.43184
9.233283,3,17.477857
51.642162,4,17.533939
28.790372,4,17.588693
18.359718,4,17.649037
-0.125497,4,17.711756
66.966997,4,17.765112
-45.236573,4,17.817174
53.847309,3,17.853515
128.898594,4,17.916387
21.226767,4,17.984985
29.062396,4,18.040896
42.978694,3,18.085654
61.847337,4,18.152057
127.282071,4,18.217206
-74.756297,4,18.286932
42.252611,3,18.331884
102.250143,4,18.383524
-29.320035,4,18.450525
-49.762657,4,18.51037
86.036492,4,18.570118
-7.302041,4,18.63172
41.184789,4,18.696781
23.617209,3,18.73337
-24.305955,4,18.797695
-32.86761,4,18.850046
58.64574,4,18.918066
24.196277,3,18.948814
157.578372,4,19.01806
-29.634516,4,19.066467
2.54745,4,19.140076
-25.218918,4,19.196372
198.743066,4,19.26439
-74.575251,4,19.333153
99.548495,4,19.447002
11.910201,3,19.501436
-16.545378,4,19.557405
34.437723,4,19.616982
-38.85809,4,19.681945
123.892546,4,19.738713
20.868351,4,19.798936
113.225875,4,19.849698
65.996553,4,19.918411
116.366369,4,19.972028
68.554148,3,20.017379
75.65561,4,20.066867
28.759562,3,20.116433
114.883308,4,20.184434
54.288478,3,20.215677
117.937217,4,20.28365
-56.4402,4,20.351702
-36.556336,4,20.40975
-29.753432,4,20.469439
3.450122,4,20.516912
57.000825,4,20.587048
17.829085,4,20.641685
2.108082,4,20.685843
-64.783892,4,20.75004
-28.919103,4,20.816232
54.019947,3,20.849046
43.951152,3,20.899052
201.309434,4,20.966691
32.724462,4,21.025412
38.418707,3,21.066486
48.972919,3,21.099752
68.666592,4,21.166916
-12.576002,4,21.216492
14.991359,4,21.29203
-10.416891,4,21.351506
43.426685,3,21.399863
68.507516,4,21.460813
51.929711,3,21.49995
13.795134,3,21.550733
-26.844492,4,21.600276
26.950931,3,21.649839
-25.250557,4,21.710688
34.322891,3,21.749945
12.788526,4,21.816406
-1.07688,4,21.882
49.527966,4,21.942066
-40.068244,4,22.003658
-21.520382,4,22.066543
110.314385,4,22.127845
36.248581,3,22.166631
73.829772,3,22.218512
58.945074,3,22.265174
12.63406,3,22.300319
135.866759,4,22.366391
45.013954,3,22.398989
132.500244,4,22.466882
15.687537,3,22.517253
51.716774,4,22.566622
23.43315,3,22.615728
-21.837571,4,22.683208
22.631041,3,22.716491
-9.950818,4,22.787575
17.425418,4,22.848124
-49.215453,4,22.900428
-20.715995,4,22.976297
29.830047,4,23.037085
0.028311,4,23.093424
27.238953,4,23.157573
-55.046028,4,23.200025
58.873628,4,23.27622
70.705178,3,23.317073
16.712942,4,23.381885
-37.734323,4,23.443968
61.776822,4,23.500006
55.916526,3,23.533117
17.174465,3,23.59272
-60.81012,4,23.649959
52.925863,4,23.7194
140.626558,4,23.77916
-56.783474,4,23.833821
-9.195663,4,23.89335
-81.596094,4,23.95481
-51.96628,4,24.015472
59.112272,3,24.055559
101.963616,4,24.117298
69.978687,4,24.199368
64.434605,4,24.280527
64.244202,3,24.322124
63.332703,4,24.383543
36.417907,4,24.447278
54.138406,3,24.483308
-32.858179,4,24.549894
41.578464,4,24.610643
-13.577475,4,24.668174
41.008078,3,24.69996
80.768974,4,24.766871
115.580417,4,24.832111
-2.052758,3,24.865949
65.47831,3,24.916685
63.922383,4,24.983205
63.499188,4,25.047124
-40.212842,4,25.109934
99.831371,4,25.169559
6.57882,4,25.232448
32.911052,3,25.26674
16.315735,4,25.334151
101.792583,4,25.393055
54.638035,4,25.450292
-4.106094,4,25.500078
21.61215,3,25.54995
-21.701066,4,25.618584
5.066892,4,25.683586
52.346261,4,25.738098
-1.742423,4,25.794926
183.700576,4,25.833445
34.222889,4,25.900438
18.87842,3,25.950047
75.159938,4,25.999974
25.868498,4,26.062923
2.001467,4,26.116888
12.306742,3,26.166733
86.664221,4,26.226527
31.56713,4,26.285998
57.036895,4,26.33326
-5.482932,4,26.406177
35.180164,4,26.463659
43.413214,4,26.521683
74.34674,4,26.583598
143.375447,4,26.645997
192.497809,4,26.704422
61.393434,4,26.762702
162.894177,4,26.817214
105.140566,4,26.866834
23.920698,4,26.937033
182.840344,4,26.993066
47.581314,3,27.034194
147.980408,4,27.099936
97.071086,4,27.161618
20.949562,4,27.218361
45.857497,4,27.282039
28.390389,4,27.340295
134.351034,4,27.402023
143.494809,4,27.458812
10.896517,3,27.505033
-54.873937,4,27.556458
88.495788,4,27.61729
32.6439,4,27.674574
62.573769,4,27.739944
55.506442,4,27.793243
63.122143,4,27.845694
-72.043684,4,27.904907
25.787204,4,27.95781
157.913986,4,28.019857
-71.49674,4,28.118398
3.700968,4,28.17531
4.756795,4,28.233469
64.466568,3,28.273875
34.889016,4,28.340458
80.682261,4,28.400074
-10.076615,4,28.45656
75.118264,4,28.519335
83.715088,4,28.569352
62.5239,4,28.640961
69.368331,3,28.690744
10.126946,4,28.76075
32.917706,3,28.803708
168.784033,4,28.869563
29.504374,4,28.939935
-52.827012,4,29.00404
-43.182185,4,29.063412
43.544819,3,29.100161
31.669572,3,29.159277
55.405986,3,29.213007
49.90366,3,29.267772
-19.439703,4,29.327668
55.425756,3,29.372961
61.833003,3,29.416829
93.517396,4,29.455644
53.499448,3,29.455644
52.186462,4,29.455644
-87.556941,4,29.463629
77.927259,4,29.466699
3.389805,4,29.527726
110.281516,4,29.592397
-83.63977,4,29.651196
29.577621,3,29.69259
49.152234,3,29.741336
-80.132097,4,29.800248
-10.490966,4,29.857953
-32.989214,4,29.926589
2.654361,4,29.986112
34.74736,4,30.043952
93.230451,4,30.104732
49.068641,3,30.151231
111.090145,4,30.209123
129.920069,4,30.268797
-10.3809,4,30.332165
-24.367721,4,30.388399
41.577084,4,30.44812
-15.703815,4,30.507002
24.048075,3,30.550617
-24.868728,4,30.616238
5.665415,4,30.671407
103.798704,4,30.732406
87.824298,4,30.792822
136.848232,4,30.854867
32.223827,3,30.893652
83.152425,4,30.955126
111.099277,4,31.01607
41.046608,3,31.059817
-7.139386,4,31.123792
38.710645,3,31.167498
68.80029,3,31.217169
111.038886,4,31.275208
45.598042,4,31.335464
106.072607,4,31.394487
-83.622278,4,31.457775
142.463271,4,31.520526
117.553248,4,31.584486
65.467443,3,31.625793
151.355568,4,31.688226
157.903599,4,31.749125
8.65912,4,31.804868
47.956624,4,31.866719
56.807027,4,31.92407
24.236194,4,31.989283
-0.627027,4,32.043758
42.043237,4,32.106175
158.870735,4,32.169194
-71.177696,4,32.231755
72.270809,4,32.295163
102.198096,4,32.353173
47.447173,3,32.400611
134.091045,4,32.460122
67.807519,4,32.522352
6.474731,4,32.584543
19.778947,3,32.634137
-63.418402,4,32.683685
72.838191,3,32.733498
-23.264254,4,32.791288
-6.140603,4,32.850286
221.538751,4,32.914252
-16.812608,4,32.967808
-57.823904,4,33.025569
-26.30021,4,33.083788
-33.817368,4,33.15217
34.417386,4,33.249672
63.739698,4,33.316376
73.550506,4,33.395257
70.167898,4,33.45624
41.254382,3,33.500062
205.051937,4,33.561995
-69.909075,4,33.621737
-37.521501,4,33.670509
-58.945858,4,33.746313
-4.006628,4,33.807034
-61.814737,4,33.867061
-22.49484,4,33.928793
-49.345681,4,33.993232
39.904582,4,34.05904
-80.999831,4,34.117557
-52.901791,4,34.167126
92.59125,4,34.236454
52.234733,4,34.29822
-57.451662,4,34.350719
21.55524,3,34.400491
48.228509,3,34.450184
18.883761,3,34.500376
211.07961,4,34.550844
28.169896,3,34.600425
140.364895,4,34.668005
73.40318,3,34.715849
10.978193,3,34.755999
40.031516,3,34.800834
66.6192,3,34.85057
70.778651,3,34.899174
143.913697,4,34.950935
-31.002415,4,35.016881
0.93622,4,35.078677
168.849375,4,35.135579
-20.287268,4,35.200485
92.154067,4,35.262
-46.70193,4,35.317854
-31.856711,4,35.374568
-17.58634,4,35.433896
23.615339,3,35.485351
15.647435,4,35.533809
-6.316923,4,35.599272
9.274215,4,35.650809
77.161846,4,35.700311
60.017125,3,35.750553
145.929071,4,35.821773
-23.804427,4,35.866927
60.055179,4,35.938396
-18.177021,4,35.998535
42.079674,4,36.053267
117.578424,4,36.115719
117.415555,4,36.168852
124.59186,4,36.231934
27.237624,3,36.267022
-31.300016,4,36.333887
33.835021,4,36.395615
-29.614433,4,36.455055
-31.188399,4,36.51513
27.521433,4,36.582413
87.880122,4,36.64256
1.887044,4,36.706122
-12.057284,4,36.75795
116.946051,4,36.81735
32.252492,4,36.883715
-6.909492,4,36.943421
-0.468658,4,37.007341
-53.700869,4,37.067198
91.118517,4,37.12407
133.557383,4,37.184759
59.676942,3,37.21721
-10.901732,4,37.284056
-24.708197,4,37.345418
53.623282,3,37.383741
-49.515113,4,37.446402
-7.20774,4,37.515779
-70.444154,4,37.572013
-11.834258,4,37.628691
44.437427,4,37.689511
47.069098,3,37.73444
23.003978,4,37.7991
53.107004,4,37.856645
0.053185,4,37.918069
47.080198,4,37.98246
58.499024,4,38.041451
12.960049,4,38.100417
82.335837,4,38.161474
42.157998,4,38.217288
-72.37569,4,38.283843
0.993517,4,38.338712
63.774827,3,38.433079
-33.787498,4,38.499129
108.310707,4,38.552366
35.820366,3,38.58304
101.251365,4,38.658308
115.547852,4,38.716161
100.385377,4,38.782739
48.774834,3,38.816351
145.182054,4,38.88954
129.029474,4,38.950584
-3.279005,4,39.010314
108.096439,4,39.071719
-1.364869,3,39.124952
-29.849119,4,39.203335
130.359519,4,39.264158
28.560786,3,39.305196
-35.560702,4,39.36351
89.668134,4,39.433102
-71.897447,4,39.50536
7.270112,4,39.573981
58.300479,4,39.633688
-28.004332,4,39.691344
-34.358442,4,39.754416
154.759192,4,39.816038
107.190592,4,39.887618
-68.96242,4,39.957121
107.465772,4,40.023221
16.12288,4,40.082649
24.310375,3,40.121833
186.902773,4,40.183799
94.324616,4,40.250484
154.105974,4,40.308479
-31.326421,4,40.367134
145.623318,4,40.437682
15.268445,3,40.490215
27.865637,4,40.558451
-29.720872,4,40.621165
106.829843,4,40.682753
72.948289,4,40.740515
32.059828,4,40.802178
29.939189,3,40.85027
-21.848022,4,40.909152
73.535634,4,40.970052
48.559029,3,41.021878
86.009942,4,41.084496
26.024579,3,41.132499
-19.787173,4,41.199419
59.087244,4,41.271564
63.099715,3,41.319906
65.867936,3,41.369499
10.246965,3,41.417202
-28.570573,4,41.474878
-28.437075,4,41.532107
53.545436,3,41.575719
-28.576191,4,41.638655
111.894068,4,41.703101
17.857108,4,41.757209
33.58018,3,41.80267
-55.590891,4,41.86455
103.736081,4,41.92518
98.598056,4,41.987784
26.693688,4,42.056868
167.274499,4,42.133706
117.970185,4,42.192502
122.994174,4,42.25025
122.180747,4,42.314805
-38.82781,4,42.369217
-20.506734,4,42.436889
125.83031,4,42.492871
